Subject,trial_number,State_1,State_2,State_3,outcome_type,RT_1,RT_2,RT_3,Reward_received,Shock_received,trial_type,State_1_shock,State_2_shock
M103,0,1,3,5,too_few_moves,nan,nan,nan,,1.0,0.0,1.0,0.0
M103,1,2,4,6,too_few_moves,nan,nan,nan,,0.0,0.0,0.0,0.0
M103,2,2,4,6,moves_entered,10.294584184008272,12.67805739079995,14.128082044815528,,1.0,0.0,1.0,1.0
M103,3,1,3,5,too_few_moves,nan,nan,nan,,1.0,0.0,1.0,0.0
M103,4,2,4,6,moves_entered,10.475223635185102,12.24191129040264,14.408675870163279,,0.0,0.0,1.0,0.0
M103,5,1,3,5,moves_entered,10.01796881041082,12.65141632547602,14.13829346010607,,1.0,0.0,1.0,0.0
M103,6,1,3,5,too_few_moves,nan,nan,nan,,1.0,0.0,1.0,1.0
M103,7,nan,nan,nan,moves_entered,nan,nan,nan,,0.0,1.0,0.0,0.0
M103,8,2,4,6,moves_entered,10.770716653558338,12.824099877379922,14.521037256181444,,0.0,0.0,0.0,0.0
M103,9,2,4,6,moves_entered,10.803977313618816,12.504185826666799,14.170759768796415,,0.0,0.0,1.0,0.0
M103,10,nan,nan,nan,moves_entered,nan,nan,nan,,1.0,1.0,1.0,1.0
M103,11,1,3,5,too_few_moves,nan,nan,nan,,1.0,0.0,1.0,0.0
M103,12,2,4,6,moves_entered,10.325490912826353,12.74593610442389,14.375807197233371,,0.0,0.0,1.0,0.0
M103,13,2,4,6,moves_entered,10.266166288907698,12.166149317305099,14.302934078878025,,0.0,0.0,1.0,0.0
M103,14,2,4,6,too_few_moves,nan,nan,nan,,0.0,0.0,0.0,0.0
M103,15,2,4,6,moves_entered,10.282228053492872,12.68232740599342,14.699078077075683,,0.0,0.0,1.0,0.0
M103,16,nan,nan,nan,moves_entered,nan,nan,nan,,1.0,1.0,1.0,0.0
M103,17,2,4,6,too_few_moves,nan,nan,nan,,0.0,0.0,1.0,0.0
M103,18,1,3,5,moves_entered,9.904903119593655,12.434974825457175,14.201863328049512,,1.0,0.0,1.0,0.0
M103,19,nan,nan,nan,moves_entered,nan,nan,nan,,0.0,1.0,1.0,0.0
M103,20,2,4,6,moves_entered,9.961744265725429,12.628446415426879,14.331822961074067,,0.0,0.0,1.0,0.0
M103,21,2,4,6,moves_entered,10.173216132196103,12.15663952883915,13.990034287995513,,0.0,0.0,1.0,0.0
M103,22,1,3,5,too_few_moves,nan,nan,nan,,1.0,0.0,1.0,0.0
M103,23,nan,nan,nan,moves_entered,nan,nan,nan,,0.0,1.0,1.0,0.0
M103,24,nan,nan,nan,moves_entered,nan,nan,nan,,0.0,1.0,1.0,0.0
M103,25,2,4,6,moves_entered,10.315463607625134,12.46551166036079,14.398905649602966,,0.0,0.0,1.0,0.0
M103,26,2,4,6,moves_entered,9.874238411859551,12.724440414109267,14.24108179074392,,0.0,0.0,1.0,0.0
M103,27,2,4,6,moves_entered,10.46876003190846,12.418752717716416,14.068898348799848,,0.0,0.0,1.0,0.0
M103,28,2,4,6,moves_entered,9.948356449192943,12.501810806461435,14.15212849679665,,0.0,0.0,1.0,0.0
M103,29,2,4,6,moves_entered,10.111643356656714,12.245025763699232,13.995104010486102,,0.0,0.0,1.0,0.0
M103,30,nan,nan,nan,moves_entered,nan,nan,nan,,1.0,1.0,1.0,0.0
M103,31,2,4,6,moves_entered,10.287685746159696,12.671022376740439,14.28864813983455,,1.0,0.0,1.0,1.0
M103,32,nan,nan,nan,moves_entered,nan,nan,nan,,0.0,1.0,1.0,0.0
M103,33,1,3,5,moves_entered,10.017393382680893,12.064131236355024,13.9975329247427,,1.0,0.0,1.0,0.0
M103,34,2,4,6,moves_entered,10.130614395468001,12.714390011460637,14.664525968393718,,0.0,0.0,1.0,0.0
M103,35,nan,nan,nan,moves_entered,nan,nan,nan,,0.0,1.0,1.0,0.0
M103,36,nan,nan,nan,moves_entered,nan,nan,nan,,0.0,1.0,1.0,0.0
M103,37,nan,nan,nan,moves_entered,nan,nan,nan,,0.0,1.0,0.0,0.0
M103,38,2,4,6,too_few_moves,nan,nan,nan,,1.0,0.0,1.0,1.0
M103,39,2,4,6,moves_entered,10.278543173651997,12.38195982182151,14.015448510599526,,0.0,0.0,0.0,0.0
M103,40,2,4,6,moves_entered,10.06665990480542,12.11682120198384,14.09687973560358,,0.0,0.0,1.0,0.0
M103,41,nan,nan,nan,moves_entered,nan,nan,nan,,0.0,1.0,0.0,0.0
M103,42,nan,nan,nan,moves_entered,nan,nan,nan,,1.0,1.0,1.0,0.0
M103,43,2,4,6,too_few_moves,nan,nan,nan,,0.0,0.0,0.0,0.0
M103,44,1,3,5,moves_entered,10.230177786746935,12.596881576704618,14.280280838189356,,1.0,0.0,1.0,0.0
M103,45,2,4,6,moves_entered,10.21687867780929,12.466979519926099,14.054204689586186,,1.0,0.0,1.0,1.0
M103,46,1,3,5,too_few_moves,nan,nan,nan,,1.0,0.0,1.0,0.0
M103,47,2,4,6,moves_entered,10.371819037853129,12.688676526264317,14.172022764039866,,1.0,0.0,1.0,1.0
M103,48,1,3,5,moves_entered,10.357730263982376,12.204638369279564,14.35474667622475,,1.0,0.0,1.0,0.0
M103,49,2,4,6,moves_entered,10.298415012937767,12.134188474505208,14.115251914492546,,0.0,0.0,1.0,0.0
M103,50,2,4,6,moves_entered,10.10274816115998,12.169464637976489,14.119510883083422,,1.0,0.0,1.0,1.0
M103,51,1,3,5,moves_entered,10.557105762545689,12.173874576837989,14.323937693126936,,1.0,0.0,1.0,1.0
M103,52,2,4,6,moves_entered,10.06251943616735,12.012566016022902,14.296053717298491,,0.0,0.0,0.0,0.0
M103,53,2,4,6,moves_entered,9.90403110724219,12.504088750440133,14.32087912235147,,1.0,0.0,1.0,1.0
M103,54,2,4,6,too_few_moves,nan,nan,nan,,0.0,0.0,1.0,0.0
M103,55,2,4,6,moves_entered,9.828831506794813,11.9122969809614,14.162410878161609,,0.0,0.0,1.0,0.0
M103,56,2,4,6,moves_entered,10.59109181637541,12.241158447490307,14.124573910663457,,1.0,0.0,1.0,1.0
M103,57,1,3,5,too_few_moves,nan,nan,nan,,0.0,0.0,0.0,1.0
M103,58,1,3,5,moves_entered,9.788667052966048,11.955313467518863,14.205430712176167,,1.0,0.0,1.0,0.0
M103,59,2,4,6,moves_entered,10.37727673052359,12.52381564487223,14.340597313395847,,0.0,0.0,1.0,0.0
M103,60,2,4,6,moves_entered,10.503312810080388,12.8590151850658,14.412533144000918,,0.0,0.0,1.0,0.0
M103,61,nan,nan,nan,moves_entered,nan,nan,nan,,0.0,1.0,1.0,0.0
M103,62,1,3,5,too_few_moves,nan,nan,nan,,1.0,0.0,1.0,0.0
M103,63,2,4,6,moves_entered,10.379823475239391,12.385676502497518,14.20620598304231,,1.0,0.0,1.0,1.0
M103,64,1,3,5,too_few_moves,nan,nan,nan,,1.0,0.0,1.0,1.0
M103,65,nan,nan,nan,moves_entered,nan,nan,nan,,1.0,1.0,1.0,0.0
M103,66,2,4,6,moves_entered,10.163770949635364,12.401747639960377,13.921905184641219,,1.0,0.0,0.0,1.0
M103,67,1,3,5,moves_entered,10.30657945873827,12.093855643626739,14.157390028532973,,1.0,0.0,1.0,0.0
M103,68,2,4,6,moves_entered,10.298777877196699,12.370373271496646,14.242266455508798,,0.0,0.0,1.0,0.0
M103,69,nan,nan,nan,moves_entered,nan,nan,nan,,1.0,1.0,1.0,1.0
M103,70,2,3,5,moves_entered,10.989065199410106,12.730007233851211,14.955269615842553,,0.0,0.0,0.0,0.0
M103,71,nan,nan,nan,moves_entered,nan,nan,nan,,1.0,1.0,1.0,1.0
M103,72,2,4,6,moves_entered,10.68880306011124,12.895786991986824,14.572871946744272,,0.0,0.0,1.0,0.0
M103,73,nan,nan,nan,moves_entered,nan,nan,nan,,0.0,1.0,1.0,0.0
M103,74,nan,nan,nan,moves_entered,nan,nan,nan,,0.0,1.0,1.0,0.0
M103,75,2,4,6,too_few_moves,nan,nan,nan,,0.0,0.0,1.0,0.0
M103,76,2,4,6,moves_entered,10.229680020001979,12.701822321709187,14.121435670425853,,0.0,0.0,0.0,0.0
M103,77,2,4,6,moves_entered,10.797101303734962,12.433704800554551,14.311007473865175,,0.0,0.0,1.0,0.0
M103,78,nan,nan,nan,moves_entered,nan,nan,nan,,0.0,1.0,0.0,0.0
M103,79,2,4,6,too_few_moves,nan,nan,nan,,0.0,0.0,1.0,0.0
M103,80,2,4,6,moves_entered,10.702081749568606,12.45766254494447,14.151788729985128,,0.0,0.0,1.0,0.0
M103,81,2,4,6,moves_entered,10.061303305312322,12.556479118735297,14.510555366425251,,0.0,0.0,0.0,0.0
M103,82,1,3,5,too_few_moves,nan,nan,nan,,0.0,0.0,0.0,0.0
M103,83,nan,nan,nan,moves_entered,nan,nan,nan,,1.0,1.0,1.0,0.0
M103,84,2,4,6,moves_entered,10.269243605438533,12.775640092215326,14.41467819396712,,1.0,0.0,1.0,1.0
M103,85,nan,nan,nan,moves_entered,nan,nan,nan,,1.0,1.0,1.0,0.0
M103,86,1,3,5,too_few_moves,nan,nan,nan,,0.0,0.0,0.0,1.0
M103,87,nan,nan,nan,moves_entered,nan,nan,nan,,0.0,1.0,1.0,0.0
M103,88,1,3,5,too_few_moves,nan,nan,nan,,1.0,0.0,1.0,1.0
M103,89,nan,nan,nan,moves_entered,nan,nan,nan,,0.0,1.0,1.0,0.0
M103,90,nan,nan,nan,moves_entered,nan,nan,nan,,0.0,1.0,0.0,0.0
M103,91,2,4,6,moves_entered,10.644609273189417,12.665454887504893,14.20460824217298,,0.0,0.0,1.0,0.0
M103,92,1,3,5,moves_entered,10.376983158614166,12.770826115382079,14.747059510740655,,1.0,0.0,1.0,0.0
M103,93,2,4,6,moves_entered,10.036074866529816,12.469328429979214,13.980493702933018,,0.0,0.0,1.0,0.0
M103,94,1,3,5,too_few_moves,nan,nan,nan,,1.0,0.0,1.0,0.0
M103,95,2,4,6,moves_entered,9.880308689025696,12.358632403444062,14.15666028306805,,0.0,0.0,1.0,0.0
M103,96,2,4,6,moves_entered,10.421896648625989,12.72752308656709,14.082631288070843,,0.0,0.0,0.0,0.0
M103,97,2,4,6,moves_entered,10.389904339743225,12.131854962754005,14.345862192589266,,0.0,0.0,1.0,0.0
M103,98,2,4,6,moves_entered,10.153306801395956,12.408887094654347,13.925194729901705,,0.0,0.0,1.0,0.0
M103,99,2,4,6,moves_entered,10.257731703390164,12.345956590856076,13.986042446413194,,0.0,0.0,0.0,0.0
