Subject,trial_number,State_1,State_2,State_3,outcome_type,RT_1,RT_2,RT_3,Reward_received,Shock_received,trial_type,State_1_shock,State_2_shock
M102,64,2,4,6,moves_entered,9.833754719464196,11.919722511123837,14.364531193565199,,1.0,0.0,1.0,1.0
M102,65,nan,nan,nan,moves_entered,nan,nan,nan,,1.0,1.0,1.0,0.0
M102,66,2,4,6,moves_entered,10.139729252856341,12.356931179776439,14.716663826930017,,1.0,0.0,0.0,1.0
M102,67,2,4,6,moves_entered,9.819429041599506,11.924547502261703,14.030350178400113,,0.0,0.0,1.0,0.0
M102,68,1,3,5,moves_entered,10.49392323597931,12.833907697189716,13.937176700655982,,1.0,0.0,1.0,0.0
M102,69,nan,nan,nan,moves_entered,nan,nan,nan,,1.0,1.0,1.0,1.0
M102,70,2,4,6,moves_entered,9.979712207721604,11.549718263231625,13.454564443625713,,0.0,0.0,0.0,0.0
M102,71,nan,nan,nan,moves_entered,nan,nan,nan,,1.0,1.0,1.0,1.0
M102,72,2,4,6,moves_entered,9.928051596005389,11.882072249001794,13.606393330839637,,0.0,0.0,1.0,0.0
M102,73,nan,nan,nan,moves_entered,nan,nan,nan,,0.0,1.0,1.0,0.0
M102,74,nan,nan,nan,moves_entered,nan,nan,nan,,0.0,1.0,1.0,0.0
M102,75,2,4,6,too_few_moves,nan,nan,nan,,0.0,0.0,1.0,0.0
M102,76,2,4,6,moves_entered,9.822428677063726,12.277276313590846,13.378004949514434,,0.0,0.0,0.0,0.0
M102,77,2,4,6,too_few_moves,nan,nan,nan,,0.0,0.0,1.0,0.0
M102,78,nan,nan,nan,moves_entered,nan,nan,nan,,0.0,1.0,0.0,0.0
M102,79,2,4,6,moves_entered,10.01316980896081,12.637945907477842,13.940890343757928,,0.0,0.0,1.0,0.0
M102,80,2,4,6,moves_entered,10.539411514437234,11.658647777319857,13.397555636860488,,0.0,0.0,1.0,0.0
M102,81,2,4,6,too_few_moves,nan,nan,nan,,0.0,0.0,0.0,0.0
M102,82,2,4,6,moves_entered,9.003209854308807,12.209978834176582,14.373093594585953,,0.0,0.0,0.0,0.0
M102,83,nan,nan,nan,moves_entered,nan,nan,nan,,1.0,1.0,1.0,0.0
M102,84,2,4,6,moves_entered,10.490352528300718,12.746111202421162,14.299918021344638,,1.0,0.0,1.0,1.0
M102,85,nan,nan,nan,moves_entered,nan,nan,nan,,1.0,1.0,1.0,0.0
M102,86,1,3,6,moves_entered,10.18115642457633,12.519441058884695,14.981173362593836,,1.0,0.0,0.0,1.0
M102,87,nan,nan,nan,moves_entered,nan,nan,nan,,0.0,1.0,1.0,0.0
M102,88,2,4,6,moves_entered,10.084002847997908,12.10563195701252,13.784441663097823,,1.0,0.0,1.0,1.0
M102,89,nan,nan,nan,moves_entered,nan,nan,nan,,0.0,1.0,1.0,0.0
M102,90,nan,nan,nan,moves_entered,nan,nan,nan,,0.0,1.0,0.0,0.0
M102,91,2,4,6,moves_entered,9.803377092102892,12.225600973164546,14.063165741827106,,0.0,0.0,1.0,0.0
M102,92,1,3,5,moves_entered,9.61938438683137,11.362215773573553,13.970891719553038,,1.0,0.0,1.0,0.0
M102,93,1,3,5,moves_entered,10.503269940745668,12.991271901006257,13.424609931902523,,1.0,0.0,1.0,0.0
M102,94,2,4,6,moves_entered,10.029752326718153,12.28191753061401,14.386502410321555,,0.0,0.0,1.0,0.0
M102,95,1,3,5,moves_entered,10.31408737404854,12.887965071535291,13.792819955255254,,1.0,0.0,1.0,0.0
M102,96,1,3,5,too_few_moves,nan,nan,nan,,0.0,0.0,0.0,0.0
M102,97,2,4,6,moves_entered,10.077090731858334,12.097762474797491,13.360792109964677,,0.0,0.0,1.0,0.0
M102,98,2,4,6,moves_entered,9.67507396992005,11.846684852160251,14.28696780404789,,0.0,0.0,1.0,0.0
M102,99,2,4,6,moves_entered,9.613103596715519,11.935356700876582,14.074631372215663,,0.0,0.0,0.0,0.0
